Source,Timezone,Datetime_start,Datetime_end,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ppm),TVOC (index),NOx (index),O3 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot1.pc,slot1.pm25,slot1.pm1,slot1.pm10,slot2.pc,slot2.pm25,slot2.pm1,slot2.pm10,slot3.co2
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 14:00:00,2024-04-17 14:59:59,17,4,3,5,2,477,,,,,24,75.2,63,,,,80615,12355,,12188,3,2,5,12522,3,2,6,477
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 15:00:00,2024-04-17 15:59:59,17,4,3,5,2,456,,,,,24,75.2,65,,,,80607,590,,592,3,2,5,588,3,2,6,456
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 16:00:00,2024-04-17 16:59:59,22,6,4,7,3,447,,,,,23,73.4,66,,,,80592,412,,414,4,3,6,410,5,3,7,447
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 17:00:00,2024-04-17 17:59:59,28,7,5,9,4,453,,,,,21,69.8,72,,,,80663,525,,534,6,5,9,516,5,4,9,453
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 18:00:00,2024-04-17 18:59:59,33,9,6,9,4,454,,,,,20,68,77,,,,80736,530,,535,6,4,9,524,6,4,9,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 19:00:00,2024-04-17 19:59:59,28,7,5,8,4,454,,,,,19,66.2,84,,,,80769,484,,490,5,4,8,479,5,4,9,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 20:00:00,2024-04-17 20:59:59,17,4,3,4,2,454,,,,,18,64.4,87,,,,80822,268,,276,3,2,4,260,2,2,4,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 21:00:00,2024-04-17 21:59:59,11,3,2,3,2,454,,,,,18,64.4,85,,,,80868,181,,188,2,2,3,173,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 22:00:00,2024-04-17 22:59:59,6,1,1,2,1,454,,,,,17,62.6,91,,,,80859,155,,161,1,1,2,148,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-17 23:00:00,2024-04-17 23:59:59,11,3,2,3,2,454,,,,,17,62.6,93,,,,80842,189,,198,2,2,3,180,2,1,3,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-18 00:00:00,2024-04-18 00:59:59,6,1,1,2,1,454,,,,,17,62.6,94,,,,80782,173,,181,1,1,2,165,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-18 01:00:00,2024-04-18 01:59:59,6,1,1,2,1,454,,,,,16,60.8,94,,,,80732,129,,134,1,1,2,124,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-18 02:00:00,2024-04-18 02:59:59,6,1,1,2,1,454,,,,,16,60.8,93,,,,80736,139,,144,1,1,2,133,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-18 03:00:00,2024-04-18 03:59:59,6,1,1,2,1,454,,,,,16,60.8,95,,,,80797,167,,176,1,1,2,157,1,1,2,454
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-04-18 04:00:00,2024-04-18 04:59:59,11,3,2,3,2,454,,,,,15,59,96,,,,80816,188,,197,2,2,3,178,2,2,3,454
