Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Pressure (pascal)
Europe/Zurich UTC+02:00,2023-09-12 14:07:14,50,17,12,18,10,451,33.4,92.1,36,96316
Europe/Zurich UTC+02:00,2023-09-12 14:02:14,57,21,15,23,12,428,34,93.2,36,96326
Europe/Zurich UTC+02:00,2023-09-12 13:57:14,53,19,13,20,10,427,34.1,93.4,35,96322
Europe/Zurich UTC+02:00,2023-09-12 13:52:14,55,20,14,21,11,425,33.4,92.1,36,96325
Europe/Zurich UTC+02:00,2023-09-12 13:47:14,55,20,14,21,11,426,32.6,90.7,37,96330
Europe/Zurich UTC+02:00,2023-09-12 13:42:14,53,19,13,20,10,426,33.4,92.1,36,96336
Europe/Zurich UTC+02:00,2023-09-12 13:37:14,45,16,11,17,9,421,33.2,91.8,35,96334
Europe/Zurich UTC+02:00,2023-09-12 13:32:14,50,17,12,18,10,422,32.7,90.9,38,96328
Europe/Zurich UTC+02:00,2023-09-12 13:27:14,50,17,12,18,10,426,32.1,89.8,38,96335
Europe/Zurich UTC+02:00,2023-09-12 13:22:14,53,19,13,20,10,425,30.5,86.9,40,96345
Europe/Zurich UTC+02:00,2023-09-12 13:17:14,50,17,12,18,10,430,30.7,87.3,38,96346
Europe/Zurich UTC+02:00,2023-09-12 13:12:14,53,19,13,20,10,430,31.6,88.9,41,96352
Europe/Zurich UTC+02:00,2023-09-12 13:07:14,55,20,14,21,11,430,30.5,86.9,40,96353
Europe/Zurich UTC+02:00,2023-09-12 13:02:14,55,20,14,21,11,431,30.5,86.9,43,96361
Europe/Zurich UTC+02:00,2023-09-12 12:57:14,50,17,12,18,10,428,30.5,86.9,41,96363
Europe/Zurich UTC+02:00,2023-09-12 12:52:14,53,19,13,20,10,429,30.8,87.4,40,96373
Europe/Zurich UTC+02:00,2023-09-12 12:47:14,50,17,12,18,10,431,30.6,87.1,41,96380
Europe/Zurich UTC+02:00,2023-09-12 12:42:14,53,19,13,20,10,431,29.9,85.8,42,96384
Europe/Zurich UTC+02:00,2023-09-12 12:37:14,53,19,13,20,10,431,31,87.8,42,96392
Europe/Zurich UTC+02:00,2023-09-12 12:32:14,55,20,14,21,11,432,30.4,86.7,45,96393
Europe/Zurich UTC+02:00,2023-09-12 12:27:14,55,20,14,21,11,429,31.1,88.0,47,96399
Europe/Zurich UTC+02:00,2023-09-12 12:22:14,53,19,13,20,10,430,30.9,87.6,47,96401
Europe/Zurich UTC+02:00,2023-09-12 12:17:14,55,20,14,21,11,428,31.3,88.3,46,96399
Europe/Zurich UTC+02:00,2023-09-12 12:12:14,53,19,13,20,10,425,31,87.8,43,96410
Europe/Zurich UTC+02:00,2023-09-12 12:07:14,57,21,15,23,12,425,30.5,86.9,46,96413
Europe/Zurich UTC+02:00,2023-09-12 12:02:14,57,21,15,23,12,429,30.8,87.4,46,96427
Europe/Zurich UTC+02:00,2023-09-12 11:57:14,55,20,14,21,11,428,29.9,85.8,47,96419
Europe/Zurich UTC+02:00,2023-09-12 11:52:14,55,20,14,21,11,427,30.8,87.4,47,96418
Europe/Zurich UTC+02:00,2023-09-12 11:47:14,59,23,16,24,13,428,30.3,86.5,46,96428
Europe/Zurich UTC+02:00,2023-09-12 11:42:14,57,21,15,23,12,431,30.5,86.9,50,96431
Europe/Zurich UTC+02:00,2023-09-12 11:37:14,55,20,14,21,11,430,30.1,86.2,50,96426
Europe/Zurich UTC+02:00,2023-09-12 11:32:14,55,20,14,21,11,432,30.1,86.2,48,96435
Europe/Zurich UTC+02:00,2023-09-12 11:27:14,57,21,15,23,12,432,29.5,85.1,50,96432
Europe/Zurich UTC+02:00,2023-09-12 11:22:14,55,20,14,21,11,431,29.4,84.9,51,96436
Europe/Zurich UTC+02:00,2023-09-12 11:17:14,57,21,15,23,12,433,28.8,83.8,52,96443
Europe/Zurich UTC+02:00,2023-09-12 11:12:14,55,20,14,21,11,431,28.6,83.5,55,96444
Europe/Zurich UTC+02:00,2023-09-12 11:07:14,57,21,15,23,12,432,27.8,82.0,55,96453
Europe/Zurich UTC+02:00,2023-09-12 11:02:14,55,20,14,21,11,432,27.3,81.1,55,96452
Europe/Zurich UTC+02:00,2023-09-12 10:57:14,53,19,13,20,10,432,27.3,81.1,53,96453
Europe/Zurich UTC+02:00,2023-09-12 10:52:14,55,20,14,21,11,442,27.4,81.3,56,96461
Europe/Zurich UTC+02:00,2023-09-12 10:47:14,57,21,15,23,12,450,26.7,80.1,59,96460
Europe/Zurich UTC+02:00,2023-09-12 10:42:14,55,20,14,21,11,456,26.3,79.3,58,96462
Europe/Zurich UTC+02:00,2023-09-12 10:37:14,57,21,15,23,12,463,25.8,78.4,62,96478
Europe/Zurich UTC+02:00,2023-09-12 10:32:14,59,23,16,24,13,469,25.1,77.2,63,96477
Europe/Zurich UTC+02:00,2023-09-12 10:27:14,63,26,18,29,14,471,25.1,77.2,62,96478
Europe/Zurich UTC+02:00,2023-09-12 10:22:14,59,23,16,24,13,473,25.4,77.7,62,96485
Europe/Zurich UTC+02:00,2023-09-12 10:17:14,61,24,17,26,14,475,25.2,77.4,62,96489
Europe/Zurich UTC+02:00,2023-09-12 10:12:14,59,23,16,24,13,477,25.1,77.2,64,96487
Europe/Zurich UTC+02:00,2023-09-12 10:07:14,63,26,18,29,13,483,24.8,76.6,63,96483
Europe/Zurich UTC+02:00,2023-09-12 10:02:14,59,23,16,24,13,489,25.2,77.4,63,96479
Europe/Zurich UTC+02:00,2023-09-12 09:57:14,65,27,19,29,15,491,25.2,77.4,63,96485
Europe/Zurich UTC+02:00,2023-09-12 09:52:14,65,27,19,29,15,499,25.1,77.2,64,96485
Europe/Zurich UTC+02:00,2023-09-12 09:47:14,68,29,20,30,16,505,24.6,76.3,65,96483
Europe/Zurich UTC+02:00,2023-09-12 09:42:14,70,30,21,32,17,507,24.1,75.4,67,96483
Europe/Zurich UTC+02:00,2023-09-12 09:37:14,68,29,20,30,16,507,23.5,74.3,69,96493
Europe/Zurich UTC+02:00,2023-09-12 09:32:14,70,30,21,32,17,507,23.2,73.8,71,96492
Europe/Zurich UTC+02:00,2023-09-12 09:27:14,70,30,21,32,17,512,22.7,72.9,73,96487
Europe/Zurich UTC+02:00,2023-09-12 09:22:14,68,29,20,30,16,518,22.1,71.8,75,96487
Europe/Zurich UTC+02:00,2023-09-12 09:17:14,72,31,22,33,18,518,21.6,70.9,76,96489
Europe/Zurich UTC+02:00,2023-09-12 09:12:14,68,29,20,30,16,514,20.8,69.4,77,96486
Europe/Zurich UTC+02:00,2023-09-12 09:07:14,68,29,20,30,16,516,20.3,68.5,80,96486
Europe/Zurich UTC+02:00,2023-09-12 09:02:14,72,31,22,35,18,517,19.7,67.5,82,96484
Europe/Zurich UTC+02:00,2023-09-12 08:57:14,65,27,19,29,15,517,19.2,66.6,83,96479
Europe/Zurich UTC+02:00,2023-09-12 08:52:14,68,29,20,32,16,543,18.7,65.7,85,96483
