Station: D�bendorf-Empa
Vorst�dtisch
Stundenmittelwerte
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorl�ufig und noch nicht abschliessend gepr�ft.
Datum/Zeit;O3 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];TEMP [C];RAD [W/m2]
19.07.2023 01:00;16.5;0.20;13.8;8.5;0.5;20.7;-1.4
19.07.2023 02:00;10.7;0.20;14.4;8.5;0.5;20.2;-1.0
19.07.2023 03:00;10.8;0.20;14.1;8.5;0.5;20.1;-0.9
19.07.2023 04:00;4.1;0.20;13.9;8.4;0.6;19.8;-0.9
19.07.2023 05:00;4.3;0.20;13.8;8.6;0.7;20.0;0.3
19.07.2023 06:00;4.5;0.20;15.4;9.4;0.8;20.2;43.5
19.07.2023 07:00;13.8;0.30;16.3;10.1;0.7;21.6;137.9
19.07.2023 08:00;57.6;0.20;17.4;10.4;0.5;24.0;307.2
19.07.2023 09:00;86.9;0.20;16.1;8.7;0.3;25.0;446.4
19.07.2023 10:00;95.8;0.20;15.6;8.4;0.2;26.2;573.2
19.07.2023 11:00;99.0;0.20;15.8;8.6;0.2;26.1;493.8
19.07.2023 12:00;103.0;0.20;15.2;8.9;0.2;27.0;670.6
19.07.2023 13:00;107.8;0.20;15.5;8.0;0.2;28.3;920.6
19.07.2023 14:00;113.1;0.20;16.1;7.1;0.2;28.8;844.0
19.07.2023 15:00;113.9;0.20;16.3;7.1;0.2;28.5;670.9
19.07.2023 16:00;111.6;0.20;15.6;7.1;0.2;29.1;684.8
19.07.2023 17:00;108.3;0.20;15.7;7.1;0.2;28.6;524.4
19.07.2023 18:00;105.5;0.20;15.5;6.4;0.2;27.7;384.9
19.07.2023 19:00;101.8;0.20;14.0;6.4;0.2;26.6;207.2
19.07.2023 20:00;97.9;0.20;14.4;6.8;0.2;25.4;62.5
19.07.2023 21:00;95.1;0.20;13.0;6.8;0.2;24.2;-0.7
19.07.2023 22:00;86.5;0.20;13.8;6.9;0.2;23.1;-2.0
